CATAGORY,DOC_TYPE,DESCRIPT,OPENPDF,PATH,TAGS,SRNO,TYPE,FORM
3,STOCK & SALE (PTS SEPARATE),\\,                 131,Reports > Sales >,,0,H,
3,STOCK & SALE (SCHEME SEPARATE),\\,                 132,Reports > Sales >,,0,H,
3,SALESMAN\AREAWISE\DELIVERY,"SALE DONE FOR SPECIFIED PERIOD EITHER SALESMANWISE,AREAWISE OR DELIVERY FOR ALL TYPES OF TRANSACTION",                 133,Reports > Sales >,,0,H,
3,SALESMANWISE\PRODUCTWISE,TOTAL AMOUNT OF SALES DONE BY ALL THE SALESMAN ALONGWITH PRODUCT DETAILS,                 134,Reports > Sales >,ALL SALESMAN SALE,0,H,
3,DOCTORWISE SALES,IT PROVIDES FOLLOWING REPORTS:,                 135,Reports > Sales >,,0,H,
4,DOCTOR VOU WISE,IN ORDER TO CHECK THE PERCENTAGE & AMOUNT OF INCENTIVE GAINED BY DOCTOR REFER THIS REPORT,                 136,Reports > Sales >  Doctorwise -Sales >,,0,H,
4,DOCTOR PRODUCT WISE SALE,IN ORDER TO CHECK THE INCENTIVE AMOUNT GAINED BY DOCTOR ALONGWITH PRODUCT DETAILS,                 137,Reports > Sales >  Doctorwise -Sales >,,0,H,
4,DOCTOR PRODUCT WISE (MASTER),\\,                 138,Reports > Sales >  Doctorwise -Sales >,,0,H,
3,FREE REPLACE GIVEN,ANY ITEM THAT HAS BEEN SOLD AS FREE OR HAS BEEN GIVEN REPLACEMENT SUCH PRODUCTS CAN BE VIEWED HERE,                 139,Reports > Sales >,,0,H,
3,FREIGHT REGISTER,\\ERROR,                 140,Reports > Sales >,,0,H,
3,SALESMANWISE COMPANYWISE INCEN,\\,                 141,Reports > Sales >,,0,H,
3,MANAGERWISE SALES,\\,                 142,Reports > Sales >,,0,H,
2,PURCHASE,ALL REPORTS RELATED TO PURCHASE ARE GIVEN BELOW,                 143,Reports >,,0,H,
3,COMPANY-WISE PURCHASE,TO VIEW ALL THE PRODUCTS PURCHASED FROM COMPANY,                 144,Reports > Purchase >,,0,H,
3,PRODUCT-WISE PURCHASE,TO VIEW ALL THE PURCHASE BILLS OF  PARTICULAR PRODUCT,                 145,Reports > Purchase >,,0,H,
3,BATCHWISE PURCHASE,TO SEARCH PURCHASE BILLS OF PARTICULAR PRODUCT FOR DIFFERENT BATCH,                 146,Reports > Purchase >,,0,H,
3,PURCHASE ITEM REGISTER,IT PROVIDES FOLLOWING TWO OPTIONS:,                 147,Reports > Purchase >,,0,H,
4,DAYWISE,TO VIEW ALL THE TOTAL AMOUNT OF PURCHASE BILLS FOR SPECIFIC DATE,                 148,Reports > Purchase > Purchase-Item Register >,,0,H,
4,FROM TO DATES,TO VIEW ALL THE TOTAL AMOUNT OF PURCHASE BILLS FOR SPECIFIC PERIOD,                 149,Reports > Purchase > Purchase-Item Register >,,0,H,
3,DUE PURCHASE BILLS,TO CHECK AMOUNT AND DUE DATE OF PENDING PURCHASE BILLS,                 150,Reports > Purchase >,PENDING PURCHASE BILLS,0,H,
3,PARTY/PRODUCTWISE PURCHASE,ALL THE PRODUCTS PURCHASED FROM PARTICULAR PARTY CAN BE VIEWED AT A GLANCE,                 151,Reports > Purchase >,,0,H,
3,PARTYWISE PUCHASE,TO VIEW ALL THE BILLS PURCHASED FROM PARTICULAR PARTY,                 152,Reports > Purchase >,,0,H,
3,PARTYWISE ALL PRODUCTS,TO CHECK ALL THE PRODUCTS PURCHASED FROM PARTICULAR PARTY FOR GIVEN PERIOD,                 153,Reports > Purchase >,,0,H,
3,YEARLY PURCHASE SUMMARY,HERE YOU CAN VIEW TOTAL AMOUNT OF PURCHASE DONE IN EVERY MONTH,                 154,Reports > Purchase >,,0,H,
3,COMPANY-CREDITORWISE PURCHASE,IT GIVES A LIST OF ALL THE PURCHASE BILLS ALONWITH ITS CORRESPONDING COMPANY & PARTYNAME,                 155,Reports > Purchase >,,0,H,
3,ALL PARTYWISE PURCHASE SUMMARY,\\error,                 156,Reports > Purchase >,,0,H,
3,PENDING PO'S,IF ANY PURCHASED ORDER HAS BEEN PLACED BUT YET PURCHASE BILL HAS NOT BEEN FEED TO SOFTWARE SUCH ORDE,                 157,Reports > Purchase >,PENDING PURCHASE ORDER,0,H,
2,STOCK,ALL THE DATA RELATED TO STOCK CAN BE CHECKED FROM HERE:,                 158,Reports >,,0,H,
3,NEAR EXPIRY PRODUCTS,TO VIEW EXPIRED PRODUCTS UPTIL SPECIFIED MONTH AND YEAR,                 159,Reports >  stock >,,0,H,
3,NEAR EXPIRY PRODUCTS COMPANYWI,TO VIEW EXPIRED PRODUTCS  OF COMPANY/COMPANIES FOR SPECIFIED MONTH AND YEAR,                 160,Reports >  stock >,COMPANY EXPIRY REPORT,0,H,
3,CURRENT STOCK(VALUE),HERE YOU CAN VIEW THE VALUE OF CURRENTLY AVAILABLE STOCK OF COMPANY EITHER BY NET RATE OR TRADE RAT,                 161,Reports >  stock >,STOCK VALUE,0,H,
3,CURRENT STOCK(BATCHWISE),IT PROVIDES THE FOLLOWING REPORTS,                 162,Reports >  stock >,,0,H,
4,ALL,HERE YOU CAN CHECK THE STOCK OF ALL THE PRODUCTS BATCHWISE,                 163,Reports >  stock > Current Stock(Batchasewise) >,,0,H,
4,COMPANY WISE,TO CHECK THE STOCK OF ALL THE PRODUCTS OF PARTICULAR COMPANY BATCHWISE REFER THIS REPORT,                 164,Reports >  stock > Current Stock(Batchasewise) >,,0,H,
4,STOCK CORRECTION,TO CORRECT THE MISMATCHED STOCK REFER THIS REPORT,                 165,Reports >  stock > Current Stock(Batchasewise) >,,0,H,
3,CURRENT STOCK(CATAGORYWISE),IN ORDER TO VIEW PRODUCTS OF PARTICULAR CATEGORY,                 166,Reports >  stock >,,0,H,
4,ALL,HERE YOU CAN CHECK ALL THE AVAILABLE PRODUCTS THAT BELONGS TO PARTICULAR CATEGORY,                 167,Reports >  stock > Current Stock(Categorywise) >,,0,H,
4,BATCHWISE,HERE YOU CAN VIEW CURRENT STOCK OF ALL PRODUCTS EITHER SHELFWISE OR CATEGORYWISE,                 168,Reports >  stock > Current Stock(Categorywise) >,SHELFWISE STOCK CATEGORYWISE STOCK,0,H,
3,STOCK VALUE(GIVEN DATE),TO CHECK THE VALUE OF CURRENTLY AVAILABLE STOCK ON SPECIFIED DATE,                 169,Reports >  stock >,,0,H,
3,HOLD STOCK,HERE YOU CAN CHECK ALL THE STOCK THAT HAS BEEN HOLD FOR SPECIFIED PERIOD ALONG WITH ITS HOLD DATE,                 170,Reports >  stock >,,0,H,
3,COMPANYWISE BREAKAGE/EXPIRY RE,PRODUCTS THAT HAS BEEN RETURNED TO COMPANY DUE TO BREAKAGE/EXPIRY ARE LISTED IN THIS REPORT,                 171,Reports >  stock >,EXPIRY REPORT,0,H,
3,PRODUCT LEDGER,"TO VIEW THE PURCHASE,SALE , OPENING STOCK AS WELL AS CLOSING STOCK EITHER REGULAR OR EXPIRY WISE",                 172,Reports >  stock >,,0,H,
3,PRODUCT LEDGER BATCHWISE,STOCK OF PARTICULAR PRODUCT FEEDED BY PURCHASE/OPENING & SALE CAN BE VIEWED FOR VARIOUS BATCH,                 173,Reports >  stock >,,0,H,
3,OPENING STOCK VALUE,TO CHECK OPENING STOCK VALUE CALCULATED WITH TRADE RATE,                 174,Reports >  stock >,,0,H,
3,OPENING STOCK BATCHWISE,ALL THE PRODUCTS FEEDED THROUGH OPENING STOCK ALONGWITH ITS BATCH NO.,                 175,Reports >  stock >,,0,H,
3,NON-MOVING ITEMS,HERE YOU CAN VIEW THE ITEMS WHICH HAS NOT BEEN SOLD SINCE SPECIFIED DAYS EITHER BATCHWISE OR PRODUCT,                 176,Reports >  stock >,UNSOLD,0,H,
3,ITEMS BELOW MIN LEVEL,\\error,                 177,Reports >  stock >,,0,H,
3,STOCK SUMMARY,TO CHECK THE CURRENT STOCK DETAILS EITHER PRODUCTWISE OR COMPANYWISE,                 178,Reports >  stock >,,0,H,
3,GODOWN TRANSACTIONS,TO CHECK THE STOCK BROUGHT FROM GODOWN OR TRANSFERRED TO GODOWN REFER THIS REPORT,                 179,Reports >  stock >,,0,H,
3,STOCK STATMENT(BANK),IT DISPLAYS,                 180,Reports >  stock >,,0,H,
